t,date,rd
4947,2022-10-21,1
4948,2022-10-28,1
4949,2022-11-04,1
4950,2022-11-11,1
4951,2022-11-18,1
4952,2022-11-25,1
4953,2022-12-02,1
4954,2022-12-09,1
4955,2022-12-16,1
4956,2022-12-23,1
4957,2022-12-30,1
4958,2023-01-06,1
4959,2023-01-13,1
4960,2023-01-20,1
4961,2023-01-27,1
4962,2023-02-03,1
4963,2023-02-10,1
4964,2023-02-17,1
4965,2023-02-24,1
4966,2023-03-03,1
4967,2023-03-10,1
4968,2023-03-17,1
4969,2023-03-24,1
4970,2023-03-31,1
4971,2023-04-07,-1
4972,2023-04-14,1
4973,2023-04-21,1
4974,2023-04-28,1
4975,2023-05-05,1
4976,2023-05-12,1
4977,2023-05-19,1
4978,2023-05-26,1
4979,2023-06-02,1
4980,2023-06-09,1
4981,2023-06-16,1
4982,2023-06-23,1
4983,2023-06-30,1
4984,2023-07-07,1
4985,2023-07-14,1
4986,2023-07-21,1
4987,2023-07-28,1
4988,2023-08-04,1
4989,2023-08-11,1
4990,2023-08-18,1
4991,2023-08-25,1
4992,2023-09-01,1
4993,2023-09-08,1
4994,2023-09-15,1
4995,2023-09-22,1
4996,2023-09-29,1
4997,2023-10-06,1
4998,2023-10-13,1
4999,2023-10-20,1
5000,2023-10-27,1
5001,2023-11-03,1
5002,2023-11-10,1
5003,2023-11-17,1
5004,2023-11-24,1
5005,2023-12-01,1
5006,2023-12-08,1
5007,2023-12-15,1
5008,2023-12-22,1
5009,2023-12-29,1
5010,2024-01-05,1
5011,2024-01-12,1
5012,2024-01-19,1
5013,2024-01-26,1
5014,2024-02-02,1
5015,2024-02-09,1
5016,2024-02-16,1
5017,2024-02-23,1
5018,2024-03-01,1
5019,2024-03-08,1
5020,2024-03-15,1
5021,2024-03-22,1
5022,2024-03-29,1
5023,2024-04-05,1
5024,2024-04-12,1
5025,2024-04-19,1
5026,2024-04-26,1
5027,2024-05-03,1
5028,2024-05-10,1
5029,2024-05-17,1
5030,2024-05-24,1
5031,2024-05-31,1
5032,2024-06-07,1
5033,2024-06-14,1
5034,2024-06-21,1
5035,2024-06-28,1
5036,2024-07-05,1
5037,2024-07-12,1
5038,2024-07-19,1
5039,2024-07-26,1
5040,2024-08-02,1
5041,2024-08-09,1
5042,2024-08-16,1
5043,2024-08-23,1
5044,2024-08-30,1
5045,2024-09-06,1
5046,2024-09-13,1
5047,2024-09-20,1
5048,2024-09-27,1
5049,2024-10-04,1
5050,2024-10-11,1
5051,2024-10-18,1
5052,2024-10-25,1
5053,2024-11-01,1
5054,2024-11-08,1
5055,2024-11-15,1
5056,2024-11-22,1
5057,2024-11-29,1
5058,2024-12-06,1
5059,2024-12-13,1
5060,2024-12-20,1
5061,2024-12-27,1
5062,2025-01-03,1
5063,2025-01-10,1
5064,2025-01-17,1
5065,2025-01-24,1
5066,2025-01-31,1
5067,2025-02-07,1
5068,2025-02-14,1
5069,2025-02-21,1
5070,2025-02-28,1
5071,2025-03-07,1
5072,2025-03-14,1
5073,2025-03-21,1
5074,2025-03-28,1
5075,2025-04-04,1
5076,2025-04-11,1
5077,2025-04-18,1
5078,2025-04-25,1
5079,2025-05-02,1
5080,2025-05-09,1
5081,2025-05-16,1
5082,2025-05-23,1
5083,2025-05-30,1
5084,2025-06-06,1
5085,2025-06-13,1
5086,2025-06-20,1
5087,2025-06-27,1
5088,2025-07-04,1
5089,2025-07-11,1
5090,2025-07-18,1
5091,2025-07-25,1
5092,2025-08-01,1
5093,2025-08-08,1
5094,2025-08-15,1
5095,2025-08-22,1
5096,2025-08-29,1
5097,2025-09-05,1
5098,2025-09-12,1
5099,2025-09-19,1
5100,2025-09-26,1
5101,2025-10-03,1
5102,2025-10-10,1
5103,2025-10-17,1
5104,2025-10-24,1
5105,2025-10-31,1
5106,2025-11-07,1
5107,2025-11-14,1
5108,2025-11-21,1
5109,2025-11-28,1
5110,2025-12-05,1
5111,2025-12-12,1
5112,2025-12-19,1
5113,2025-12-26,1
5114,2026-01-02,1
5115,2026-01-09,1
5116,2026-01-16,1
5117,2026-01-23,1
5118,2026-01-30,1
5119,2026-02-06,1
5120,2026-02-13,1
5121,2026-02-20,1
5122,2026-02-27,1
5123,2026-03-06,1
5124,2026-03-13,1
5125,2026-03-20,1
5126,2026-03-27,1
5127,2026-04-03,1
5128,2026-04-10,1
5129,2026-04-17,1
5130,2026-04-24,1
5131,2026-05-01,-1
5132,2026-05-08,1
5133,2026-05-15,1
5134,2026-05-22,1
5135,2026-05-29,1
5136,2026-06-05,1
5137,2026-06-12,1
5138,2026-06-19,1
5139,2026-06-26,1
5140,2026-07-03,1
5141,2026-07-10,1
5142,2026-07-17,1
5143,2026-07-24,1
5144,2026-07-31,1
5145,2026-08-07,1
